Topic_Name,America,China,France,Germany,Iran,Israel,Italy,Russia,System,Ukraine
No nuclear weapons,0.564815,0.629630,0.685185,0.712963,0.685185,0.592593,0.694444,0.527778,0.629630,0.722222
Legalize sex selection,0.444444,0.303371,0.300000,0.288889,0.288889,0.444444,0.288889,0.311111,0.494382,0.311111
No economic sanctions,0.419355,0.752688,0.548387,0.456522,0.913978,0.483871,0.569892,0.709677,0.434783,0.322581
Legalize prostitution,0.783505,0.752577,0.824742,0.835052,0.731959,0.773196,0.824742,0.752577,0.824742,0.773196
Adopt multi-party system,0.732558,0.697674,0.802326,0.744186,0.755814,0.744186,0.767442,0.744186,0.779070,0.779070
Adopt atheism,0.511628,0.400000,0.470588,0.546512,0.352941,0.447059,0.488372,0.423529,0.600000,0.430233
Compulsory voting,0.177778,0.200000,0.222222,0.266667,0.155556,0.200000,0.266667,0.177778,0.244444,0.222222
Adopt libertarianism,0.380952,0.142857,0.238095,0.285714,0.261905,0.333333,0.333333,0.238095,0.380952,0.261905
