Topic,America,China,France,Germany,Iran,Israel,Italy,Russia,Ukraine,without_role
Adopt atheism,0.493333,0.397436,0.414286,0.506494,0.450704,0.416667,0.415584,0.492754,0.430380,0.441176
Adopt libertarianism,0.514286,0.538462,0.515152,0.540541,0.558824,0.555556,0.514286,0.473684,0.421053,0.472222
Adopt multi-party system,0.753086,0.750000,0.763158,0.756410,0.800000,0.743590,0.734177,0.766234,0.723684,0.740741
Compulsory voting,0.425000,0.425000,0.414634,0.390244,0.348837,0.324324,0.368421,0.400000,0.425000,0.350000
Legalize prostitution,0.797872,0.800000,0.842697,0.808989,0.775281,0.829545,0.804348,0.793478,0.795455,0.813187
Legalize sex selection,0.297297,0.273973,0.301370,0.315068,0.300000,0.351351,0.302632,0.302632,0.292683,0.262500
No economic sanctions,0.729730,0.779412,0.753425,0.833333,0.743243,0.746479,0.763889,0.681818,0.736111,0.757143
No nuclear weapons,0.750000,0.789474,0.793814,0.793814,0.757895,0.776596,0.835052,0.826531,0.795918,0.787879
